Year,Advertising,Other,Bets,Revenue
20171,"21,411","3,095",244,"24,750"
20172,"22,672","3,090",248,"26,010"
20173,"24,065","3,405",302,"27,772"
20174,"27,227","4,687",409,"32,323"
20181,"26,642","4,354",150,"31,146"
20182,"28,087","4,425",145,"32,657"
20183,"28,954","4,640",146,"33,740"
20184,"32,635","6,487",154,"39,276"
20191,"30,720","5,449",170,"36,339"
20192,"32,601","6,181",162,"38,944"
20193,"33,916","6,428",155,"40,499"
20194,"37,934","7,878",172,"46,075"
20201,"33,763","7,212",135,"41,159"
20202,"29,867","8,131",148,"38,297"
20203,"37,095","8,922",178,"46,173"
20204,"46,199","3,831",196,"56,898"
20211,"44,684","10,541",198,"55,314"
20212,"50,444","11,251",192,"61,880"
20213,"53,130","11,744",182,"65,118"
20214,"61,239","13,702",181,"75,325"
20221,"54,661","12,632",440,"68,011"
20222,"56,288","12,829",193,"69,685"
20223,"54,482","13,763",209,"69,092"
20224,"59,042","16,111",226,"76,048"
20231,"54,548","14,867",288,"69,787"
20232,"58,143","16,173",285,"74,604"
20233,"59,647","16,750",297,"76,693"
20234,"65,517","19,986",657,"86,310"
